Name,FAST_score,PPI
F921,0.82,0
F922,0.58,0
F923,0.33,0
F924,0.86,0
F925,0.78,0
F926,0.04,1
F927,0.72,0
F928,0.1,2
F929,0.14,0
F287,0.55,0
F930,0.46,0
F931,0.85,0
F288,0.7,1
F932,0.15,0
F933,0.49,0
F934,0.37,0
F286,0.59,0
F937,0.12,0
F939,0.3,0
F940,0.68,0
F289,0.81,1
F936,0.73,0
F942,0.07,0
F943,0.01,0
F290,0.31,0
F901,0.73,1
F903,0.12,0
F904,0.65,0
F909,0.15,0
F910,0.49,1
F935,0.75,0
F946,0.09,0
F947,0.32,0
F948,0.89,0
F949,0.19,0
F950,0.19,0
F911,0.06,0
F912,0.07,0
F913,0.18,0
F914,0.05,0
F916,0.01,0
F917,0.02,0
F919,0.81,0
F920,0.41,0
F801,0.04,0
F802,0.69,0
F803,0.3,0
F804,0.04,0
F805,0.5,0
F806,0.74,0
F808,0.18,0
F809,0.26,0
F810,0.4,0
F811,0.26,0
F812,0.22,0
F813,0.19,0
F814,0.18,0
F815,0.71,0
F816,0.39,0
F817,0.63,0
F819,0.3,0
F820,0.23,0
F821,0.04,0
F823,0.6,0
F825,0.2,0
F826,0.36,0
F827,0.06,0
F828,0.21,0
F829,0.78,0
F830,0.02,0
F831,0.08,0
F832,0.56,0
F833,0.54,1
F834,0.07,0
F837,0.15,0
F838,0.25,0
F839,0.28,0
F840,0.17,0
F841,0.45,0
F842,0.69,0
F843,0.43,0
F844,0.24,0
F847,0.71,0
F848,0.08,0
F850,0.18,0
F851,0.06,0
F852,0.17,0
F853,0.1,1
F854,0.37,0
F855,0.09,0
F856,0.55,0
F857,0.71,0
F858,0.11,0
F860,0.44,0
F861,0.46,0
F862,0.31,0
F864,0.07,0
F866,0.37,1
F867,0.02,1
F868,0.15,0
F869,0.33,0
F870,0.37,0
F871,0.31,1
F875,0.08,0
F876,0.55,0
F872,0.1,0
F873,0.09,0
F877,0.21,0
F878,0.68,1
F882,0.38,0
F883,0.04,0
F885,0.3,0
F886,0.7,0
F887,0.31,0
F888,0.04,1
F891,0.33,0
F892,0.2,0
F893,0.05,0
F894,0.18,0
F895,0.02,0
F898,-,1
F701,0.53,0
F703,0.71,0
F704,0.22,0
F705,0.1,0
F706,0.31,0
F707,0.08,0
F708,0.04,0
F709,0.85,0
F713,0.71,0
F714,0.1,1
F715,0.54,0
F716,0.69,0
F718,0.52,1
F719,0.31,0
F721,0.08,0
F722,0.89,1
F723,0.15,0
F725,0.12,0
F746,0.29,0
F749,0.16,0
F750,0.03,0
F753,0.28,0
F755,0.2,0
F756,0.08,0
F757,0.41,0
F300,0.7,0
F759,0.37,0
F760,0.49,1
F761,0.72,1
F763,0.56,0
F764,0.55,0
F765,0.12,0
F766,0.17,0
F767,0.69,0
F768,0.3,0
F775,0.51,0
F776,0.73,0
F777,0.57,1
F724,0.130228196,0
F747,0.237793131,0
F752,0.114007736,0
F770,0.162883438,0
F780,0.132946959,0
F782,0.563489172,0
F773,0.014581002,1
F758,0.295479711,0
F779,0.052400723,0
F784,0.050900027,0
F774,-,1
F785,0.688275146,0
