"sample_id","read_count","observed_taxa","log10_read_count","gmm_cluster","gmm_max_posterior","gmm_uncertainty"
"F286",12235,96,4.08760397368781,"2",0.999995137994593,4.86200540683601e-06
"F287",14845,113,4.17158020193206,"2",0.999999997340961,2.65903898899467e-09
"F288",13115,73,4.11776829492637,"2",0.999999877233481,1.22766519172757e-07
"F289",10455,81,4.01932403715369,"2",0.997905629283155,0.00209437071684482
"F290",13688,73,4.13633999653304,"2",0.999999979458784,2.0541215839387e-08
"F300",7255,74,3.86063741677375,"3",0.999860046767789,0.000139953232210832
"F701",6312,65,3.80016699020136,"3",0.999999438191985,5.6180801466521e-07
"F703",12654,84,4.10222783012313,"2",0.999999206052643,7.93947357191627e-07
"F704",7312,71,3.86403618272577,"3",0.999785239819941,0.000214760180059392
"F705",12118,104,4.08343094816051,"2",0.999990485973582,9.51402641802268e-06
"F706",7081,76,3.8500945943867,"3",0.999952578711095,4.74212889054471e-05
"F707",12209,93,4.08668009373462,"2",0.999995196749637,4.80325036300577e-06
"F708",15110,91,4.17926446433903,"2",0.999999999394604,6.05395733543901e-10
"F709",6202,45,3.79253176190131,"3",0.999999471458512,5.28541487687662e-07
"F713",6706,61,3.8264635490928,"3",0.999991917524589,8.08247541084217e-06
"F714",14119,105,4.14980393822702,"2",0.999999983478372,1.65216280656466e-08
"F715",14177,134,4.1515843393599,"2",0.999999963013459,3.69865413851755e-08
"F716",12094,84,4.08256996426992,"2",0.999994731894441,5.26810555911972e-06
"F718",12974,85,4.11307389359421,"2",0.999999710951753,2.89048246560064e-07
"F719",8735,95,3.94126290931895,"3",0.8605820928209,0.1394179071791
"F721",11312,85,4.05353939645282,"2",0.999910879788632,8.91202113675327e-05
"F722",4450,47,3.64836001098093,"3",0.999999999999536,4.63629135083465e-13
"F723",13555,49,4.1320995219165,"2",0.999999986238555,1.37614453166179e-08
"F724",10475,80,4.02015403163833,"2",0.9981301142904,0.00186988570959989
"F725",14268,166,4.15436310066632,"2",0.999999916785119,8.3214880985949e-08
"F746",14148,86,4.15069505114271,"2",0.99999999200673,7.99327037892539e-09
"F747",10704,64,4.02954610042375,"2",0.999557817467584,0.000442182532416235
"F749",13199,31,4.12054102886242,"2",0.999999977171927,2.28280733205466e-08
"F750",11505,72,4.06088662300466,"2",0.999971649139706,2.83508602937355e-05
"F752",11250,89,4.05115252244738,"2",0.999871680610443,0.000128319389557263
"F753",14313,77,4.15573067127859,"2",0.999999996365226,3.63477359321962e-09
"F755",13937,90,4.14416930004167,"2",0.999999982856593,1.71434068052534e-08
"F756",13686,102,4.13627653566029,"2",0.999999945083091,5.4916908687197e-08
"F757",12823,82,4.10798964226751,"2",0.999999573785051,4.26214948889836e-07
"F758",34649,185,4.53969070501568,"1",0.999999999997276,2.72359912401043e-12
"F759",6864,65,3.83657727484065,"3",0.999981300187488,1.8699812512124e-05
"F760",14424,89,4.15908571371435,"2",0.999999996056939,3.94306121087595e-09
"F761",14339,104,4.15651886474703,"2",0.999999991630925,8.36907532164588e-09
"F763",12482,78,4.09628417824486,"2",0.999998850592758,1.14940724205148e-06
"F764",11798,115,4.07180839183313,"2",0.999957805040455,4.21949595446058e-05
"F765",12465,82,4.09569228283979,"2",0.999998607607512,1.39239248764245e-06
"F766",11143,87,4.04700213051851,"2",0.99982113682723,0.000178863172769717
"F767",9871,106,3.994361151908,"2",0.948865592922931,0.0511344070770687
"F768",12103,125,4.08289303328818,"2",0.999979667416522,2.03325834775558e-05
"F770",12360,61,4.0920184707528,"2",0.999999022729755,9.77270244950645e-07
"F773",10618,80,4.02604272100514,"2",0.998938378545314,0.00106162145468625
"F774",40523,116,4.60770158958106,"1",1,0
"F775",9591,135,3.98186389099135,"2",0.677094435251248,0.322905564748752
"F776",10801,61,4.0334639660774,"2",0.999725862454143,0.000274137545857256
"F777",10902,75,4.03750617769168,"2",0.999702247521349,0.000297752478650937
"F779",35593,122,4.5513645945938,"1",0.999999999999934,6.61692922676593e-14
"F780",10734,105,4.03076159095102,"2",0.998435600719706,0.00156439928029373
"F782",11539,82,4.06216817335178,"2",0.999964897524107,3.51024758934448e-05
"F784",38531,128,4.58581028045983,"1",1,2.22044604925031e-16
"F785",10459,81,4.01949016299751,"2",0.997938788648409,0.00206121135159121
"F801",12695,136,4.10363270520974,"2",0.999995999670215,4.00032978542519e-06
"F802",11366,86,4.05560765170871,"2",0.999924465216489,7.55347835111886e-05
"F803",13600,81,4.13353890837022,"2",0.999999964777637,3.52223633592885e-08
"F804",14462,85,4.16022835719786,"2",0.9999999969131,3.08689984684918e-09
"F805",10297,70,4.01271071274179,"2",0.997269263294393,0.00273073670560708
"F806",14737,70,4.16840908351963,"2",0.999999999152579,8.47420578153901e-10
"F808",11453,89,4.05891926071889,"2",0.999939241587458,6.07584125423832e-05
"F809",11785,64,4.07132958686034,"2",0.99999207703317,7.922966830054e-06
"F810",14178,126,4.15161497201601,"2",0.999999971836943,2.81630571086211e-08
"F811",10876,49,4.03646919891546,"2",0.999862987839113,0.000137012160887351
"F812",10436,83,4.01853407042818,"2",0.997583363276089,0.00241663672391079
"F813",13517,117,4.13088031379365,"2",0.999999846945979,1.53054021123644e-07
"F814",6351,74,3.80284211273907,"3",0.999999463324232,5.36675768048056e-07
"F815",12186,111,4.08586117378845,"2",0.999990467468581,9.53253141866561e-06
"F816",5931,89,3.77312792403333,"3",0.999999981469922,1.85300780275455e-08
"F817",11300,59,4.05307844348342,"2",0.999961207369262,3.87926307383601e-05
"F819",7027,59,3.84676995353722,"3",0.999938937963339,6.10620366606751e-05
"F820",14847,35,4.17163870853082,"2",0.999999999807887,1.92113436270347e-10
"F821",8438,88,3.92623952104586,"3",0.953933241595701,0.0460667584042985
"F823",13300,144,4.12385164096709,"2",0.999999252074577,7.47925422595053e-07
"F825",14693,82,4.16711047859666,"2",0.999999998561449,1.43855083400979e-09
"F826",14101,75,4.14924991259028,"2",0.999999993659051,6.34094887708159e-09
"F827",10804,86,4.03358457551541,"2",0.999370990808175,0.000629009191824514
"F828",13559,91,4.13222766073337,"2",0.999999944025044,5.59749555595346e-08
"F829",7281,72,3.8621910310516,"3",0.999826142589157,0.000173857410842859
"F830",7873,104,3.89614025144202,"3",0.998448950950433,0.00155104904956727
"F831",13292,135,4.12359033260667,"2",0.99999943367646,5.66323540396318e-07
"F832",13666,133,4.13564141638667,"2",0.999999834057754,1.65942246166395e-07
"F833",14528,128,4.16220583117701,"2",0.999999989131641,1.08683589905567e-08
"F834",7462,60,3.87285524470481,"3",0.999273171486396,0.00072682851360395
"F837",6923,81,3.84029433161144,"3",0.99998440172953,1.55982704701518e-05
"F838",8360,122,3.92220627743902,"3",0.98969275424977,0.0103072457502302
"F839",13737,59,4.13789189824736,"2",0.999999988963078,1.10369217098949e-08
"F840",14086,110,4.14878768405631,"2",0.999999978436571,2.15634285982702e-08
"F841",11532,94,4.06190463371617,"2",0.99994605233908,5.39476609200396e-05
"F842",11972,117,4.07816670816815,"2",0.999975525839905,2.44741600946563e-05
"F843",12888,87,4.11018552741116,"2",0.999999591681381,4.08318618916326e-07
"F844",12921,90,4.11129612648226,"2",0.999999594049586,4.05950413950862e-07
"F847",12377,38,4.09261539094156,"2",0.999999574945837,4.25054162866978e-07
"F848",14274,65,4.15454569242091,"2",0.999999997281079,2.71892131031848e-09
"F850",13257,143,4.12244525628196,"2",0.999999172016649,8.27983351325834e-07
"F851",13976,92,4.14538289197487,"2",0.999999983683403,1.63165967403955e-08
"F852",10876,113,4.03646919891546,"2",0.998817038649733,0.00118296135026674
"F853",6984,57,3.84410423069751,"3",0.999949464454688,5.05355453124245e-05
"F854",14942,107,4.17440873207312,"2",0.999999998345386,1.65461400136735e-09
"F855",6928,61,3.84060787900929,"3",0.999968458192883,3.15418071165086e-05
"F856",7432,49,3.87110570098559,"3",0.999110379109137,0.000889620890862863
"F857",13810,47,4.14019367857863,"2",0.999999994098131,5.90186899351863e-09
"F858",5582,73,3.74678983215261,"3",0.999999997482965,2.51703480280696e-09
"F860",7109,120,3.85180851422824,"3",0.999987303416244,1.26965837556892e-05
"F861",5687,18,3.75488322825217,"3",0.999999964988654,3.50113457114887e-08
"F862",7661,72,3.88428546233968,"3",0.998543302662098,0.00145669733790166
"F864",11589,85,4.06404596286448,"2",0.999967585622517,3.24143774830254e-05
"F866",14733,86,4.16829118885127,"2",0.999999998530717,1.46928291755444e-09
"F867",7423,91,3.87057946055268,"3",0.999794499019746,0.000205500980254403
"F868",6193,37,3.79190108000957,"3",0.999999348679943,6.51320056888061e-07
"F869",7763,70,3.89002958616342,"3",0.997294487715757,0.00270551228424309
"F870",7874,90,3.89619541045421,"3",0.99750301644519,0.00249698355481043
"F871",6012,60,3.77901897191487,"3",0.999999913184052,8.68159484301856e-08
"F872",5436,85,3.73527944806046,"3",0.999999999445332,5.54668089236543e-10
"F873",6063,77,3.78268756823497,"3",0.999999930309127,6.96908732944479e-08
"F875",5863,71,3.7681198941848,"3",0.999999979013663,2.09863368905161e-08
"F876",6851,74,3.83575396751938,"3",0.999987244426655,1.27555733453466e-05
"F877",7294,76,3.86296575897776,"3",0.999836300948994,0.000163699051005772
"F878",7671,94,3.884851982746,"3",0.999266516819911,0.000733483180088923
"F882",12025,86,4.08008508504587,"2",0.999992841642506,7.15835749376392e-06
