community,taxon,FAST_score,community_index,FAST-Ci
C1,Bifidobacterium_longum,-,->,-
C1,Bacteroides_massiliensis,-,->,-
C1,Subdoligranulum.uc,->,->,->
C1,Dorea.uc,->,->,-
C1,Anaerostipes_hadrus,->,->,-
C1,Bacteroides_uniformis,<-,->,-
C1,Parabacteroides.uc,<-,->,-
C1,Bifidobacterium.uc,<-,->,->
C1,Bacteroides_vulgatus,-,->,->
C1,Faecalibacterium.uc,->,->,-
C1,Bacteroides_dorei,<-,->,<-
C1,Lachnospiraceae..uc,->,->,-
C1,Blautia.uc,<-,<-,->
C2,Streptococcus_thermophilus,<-,->,->
C2,Bifidobacterium_longum,-,->,-
C2,Bacteroides_massiliensis,-,->,->
C2,Subdoligranulum.uc,->,->,-
C2,Dorea.uc,->,->,->
C2,uncultured_Firmicutes,<-,-,-
C2,Streptococcus.uc,<-,<-,->
C2,Anaerostipes_hadrus,->,->,->
C2,Bacteroides_uniformis,<-,-,->
C2,Parabacteroides.uc,<-,-,-
C2,Bifidobacterium.uc,<-,->,->
C2,Bacteroides_vulgatus,-,->,->
C2,Faecalibacterium.uc,->,-,-
C2,Bacteroides_dorei,<-,->,-
C2,Lachnospiraceae..uc,->,<-,->
C2,Blautia.uc,<-,<-,->
C3,Streptococcus_thermophilus,<-,->,<-
C3,Bifidobacterium_longum,-,->,<-
C3,Subdoligranulum.uc,->,->,<-
C3,Dorea.uc,->,->,->
C3,Bacteroides_fragilis,<-,<-,->
C3,uncultured_Firmicutes,<-,->,->
C3,Streptococcus.uc,<-,<-,<-
C3,Anaerostipes_hadrus,->,->,<-
C3,Bacteroides_uniformis,<-,->,->
C3,Parabacteroides.uc,<-,->,->
C3,Bifidobacterium.uc,<-,->,<-
C3,Faecalibacterium.uc,->,->,->
C3,Bacteroides_dorei,<-,->,<-
C3,Lachnospiraceae..uc,->,<-,->
C3,Blautia.uc,<-,->,->
C4,Bifidobacterium_longum,-,->,-
C4,Bacteroides_fragilis,<-,<-,->
C4,Bacteroides_uniformis,<-,->,->
C4,Parabacteroides.uc,<-,->,-
C4,Bifidobacterium.uc,<-,->,->
C4,Enterobacteriaceae..uc,->,<-,<-
C4,Ruminococcus._gnavus_group.uc,-,<-,<-
C4,Faecalibacterium.uc,->,-,->
C4,Bacteroides_dorei,<-,->,<-
C4,Lachnospiraceae..uc,->,-,->
C4,Blautia.uc,<-,->,<-
C5,Bacteroides_uniformis,<-,->,-
C5,Parabacteroides.uc,<-,->,-
C5,Bifidobacterium.uc,<-,->,-
C5,Lachnospiraceae.uncultured.human_gut,-,<-,-
C5,Bacteroides_stercoris,<-,<->,-
C5,Bacteroides_vulgatus,-,->,->
C5,Ruminococcus._gnavus_group.uc,-,<-,->
C5,Faecalibacterium.uc,->,->,->
C5,Bacteroides_dorei,<-,->,<-
C5,Lachnospiraceae..uc,->,<-,-
C5,Blautia.uc,<-,<-,->
C6,Subdoligranulum.uc,->,-,-
C6,Bacteroides_uniformis,<-,->,-
C6,Parabacteroides.uc,<-,-,->
C6,Bifidobacterium.uc,<-,->,-
C6,Bacteroides_vulgatus,-,->,->
C6,Faecalibacterium.uc,->,->,-
C6,Bacteroides_dorei,<-,->,<-
C6,Lachnospiraceae..uc,->,->,-
C6,Blautia.uc,<-,<-,->
C7,Bacteroides_uniformis,<-,->,->
C7,Parabacteroides.uc,<-,->,<-
C7,Lachnospiraceae.uncultured.human_gut,-,<-,-
C7,Bacteroides_vulgatus,-,->,-
C7,Ruminococcus._gnavus_group.uc,-,<-,->
C7,Bacteroides_dorei,<-,<-,-
C7,Lachnospiraceae..uc,->,->,->
C7,Blautia.uc,<-,<-,<-
C8,Streptococcus_salivarius,->,->,-
C8,Streptococcus.uc,<-,<-,->
C8,Bacteroides_uniformis,<-,->,-
C8,Parabacteroides.uc,<-,->,<-
C8,Bacteroides_vulgatus,-,->,->
C8,Ruminococcus._gnavus_group.uc,-,-,->
C8,Faecalibacterium.uc,->,->,->
C8,Bacteroides_dorei,<-,->,-
C8,Blautia.uc,<-,<-,-
